亩产量/斤,种植成本/(元/亩),平均销售单价
400,400,3.25
500,400,7.5
400,350,8.25
350,350,7.0
415,350,6.75
800,450,3.5
1000,500,3.0
400,360,6.75
630,400,6.0
525,360,7.5
110,350,40.0
3000,1000,1.5
2200,2000,3.25
420,400,5.5
525,350,3.5
380,400,3.25
475,400,7.5
380,350,8.25
330,350,7.0
395,350,6.75
760,450,3.5
950,500,3.0
380,360,6.75
600,400,6.0
500,360,7.5
105,350,40.0
2850,1000,1.5
2100,2000,3.25
400,400,5.5
500,350,3.5
360,400,3.25
450,400,7.5
360,350,8.25
315,350,7.0
375,350,6.75
720,450,3.5
900,500,3.0
360,360,6.75
570,400,6.0
475,360,7.5
100,350,40.0
2700,1000,1.5
2000,2000,3.25
380,400,5.5
475,350,3.5
500,680,7.0
3000,2000,8.0
2000,1000,6.75
3000,2000,6.5
2000,2000,3.75
2400,2000,6.25
6400,2000,5.5
2700,2300,5.75
2400,1600,5.25
3300,2400,5.5
3700,2900,6.5
4100,1600,5.0
3200,1600,5.75
12000,2900,7.0
4100,1600,5.25
1600,1000,7.25
10000,4100,4.5
5000,2000,4.5
5500,900,4.0
3600,2400,8.0
2400,1200,6.75
3600,2400,6.5
2400,2400,3.75
3000,2400,6.25
8000,2400,5.5
3300,2700,5.75
3000,2000,5.25
4000,3000,5.5
4500,3500,6.5
5000,2000,5.0
4000,2000,5.75
15000,3500,7.0
5000,2000,5.25
2000,1200,7.25
12000,5000,4.5
6000,2500,4.5
6600,1100,4.0
5000,2000,2.5
4000,500,2.5
3000,500,3.25
5000,3000,57.5
4000,2000,19.0
10000,10000,16.0
1000,10000,100.0
3200,2640,9.6
2200,1320,8.1
3200,2640,7.8
2200,2640,4.5
2700,2640,7.5
7200,2640,6.6
3000,3000,6.9
2700,2200,6.8
3600,3300,6.6
4100,3850,7.8
4500,2200,6.0
3600,2200,6.9
13500,3850,8.4
4500,2200,6.3
1800,1300,8.7
11000,5500,5.4
5400,2750,5.4
6000,1200,4.8
