排名,国家/地区,所在洲,GDP(美元),占世界%
全世界,,"81.55万亿 (81,550,955,754,739)",?,
1,美国,美洲,"19.61万亿 (19,612,102,000,000)",24.05%
2,中国,亚洲,"12.31万亿 (12,310,491,333,980)",15.10%
3,日本,亚洲,"4.93万亿 (4,930,837,369,151)",6.05%
4,德国,欧洲,"3.69万亿 (3,690,849,152,517)",4.53%
5,英国,欧洲,"2.68万亿 (2,680,148,052,335)",3.29%
6,印度,亚洲,"2.65万亿 (2,651,474,262,755)",3.25%
7,法国,欧洲,"2.60万亿 (2,595,151,045,197)",3.18%
8,巴西,美洲,"2.06万亿 (2,063,514,977,334)",2.53%
9,意大利,欧洲,"1.96万亿 (1,961,796,197,354)",2.41%
10,加拿大,美洲,"1.65万亿 (1,649,265,644,244)",2.02%
11,韩国,亚洲,"1.62万亿 (1,623,074,183,501)",1.99%
12,俄罗斯,欧洲,"1.57万亿 (1,574,199,360,089)",1.93%
13,澳大利亚,大洋洲,"1.33万亿 (1,326,882,104,817)",1.63%
14,西班牙,欧洲,"1.31万亿 (1,313,245,330,197)",1.61%
15,墨西哥,美洲,"1.19万亿 (1,190,721,475,906)",1.46%
16,印尼,亚洲,"1.02万亿 (1,015,618,744,159)",1.25%
17,土耳其,欧洲,"8589.88亿 (858,988,492,853)",1.05%
18,荷兰,欧洲,"8338.70亿 (833,869,641,687)",1.02%
19,沙特阿拉伯,亚洲,"7149.95亿 (714,994,666,666)",0.88%
20,瑞士,欧洲,"6952.01亿 (695,200,833,086)",0.85%
21,阿根廷,美洲,"6436.28亿 (643,628,393,281)",0.79%
22,瑞典,欧洲,"5410.19亿 (541,018,749,769)",0.66%
23,波兰,欧洲,"5246.41亿 (524,641,252,834)",0.64%
24,比利时,欧洲,"5027.65亿 (502,764,720,556)",0.62%
25,伊朗,亚洲,"4866.30亿 (486,630,147,094)",0.60%
26,泰国,亚洲,"4563.57亿 (456,356,813,536)",0.56%
27,奥地利,欧洲,"4172.61亿 (417,261,151,844)",0.51%
28,挪威,欧洲,"4017.45亿 (401,745,275,035)",0.49%
29,阿联酋,亚洲,"3905.17亿 (390,516,804,029)",0.48%
30,南非,非洲,"3814.49亿 (381,448,814,653)",0.47%
31,尼日利亚,非洲,"3757.46亿 (375,745,731,053)",0.46%
32,以色列,亚洲,"3582.45亿 (358,245,427,458)",0.44%
33,新加坡,亚洲,"3432.57亿 (343,257,164,581)",0.42%
34,香港,亚洲,"3412.73亿 (341,273,289,534)",0.42%
35,巴基斯坦,亚洲,"3392.06亿 (339,205,534,861)",0.42%
36,爱尔兰,欧洲,"3372.42亿 (337,241,811,320)",0.41%
37,丹麦,欧洲,"3321.21亿 (332,121,063,806)",0.41%
38,菲律宾,亚洲,"3284.81亿 (328,480,736,798)",0.40%
39,马来西亚,亚洲,"3191.09亿 (319,109,094,160)",0.39%
40,哥伦比亚,美洲,"3118.67亿 (311,866,875,156)",0.38%
41,孟加拉,亚洲,"2937.32亿 (293,732,447,017)",0.36%
42,智利,美洲,"2761.54亿 (276,154,259,987)",0.34%
43,芬兰,欧洲,"2556.48亿 (255,647,979,916)",0.31%
44,埃及,非洲,"2483.63亿 (248,362,771,739)",0.30%
45,越南,亚洲,"2237.80亿 (223,779,865,815)",0.27%
46,葡萄牙,欧洲,"2213.58亿 (221,357,874,718)",0.27%
47,捷克,欧洲,"2186.29亿 (218,628,940,951)",0.27%
48,秘鲁,美洲,"2110.08亿 (211,007,984,080)",0.26%
49,罗马尼亚,欧洲,"2101.47亿 (210,147,163,769)",0.26%
50,新西兰,大洋洲,"2065.67亿 (206,566,916,732)",0.25%
51,希腊,欧洲,"1998.44亿 (199,844,406,013)",0.25%
52,阿尔及利亚,非洲,"1898.81亿 (189,880,896,903)",0.23%
53,伊拉克,亚洲,"1872.18亿 (187,217,660,050)",0.23%
54,哈萨克斯坦,亚洲,"1668.06亿 (166,805,788,827)",0.20%
55,卡塔尔,亚洲,"1610.99亿 (161,099,122,225)",0.20%
56,匈牙利,欧洲,"1431.12亿 (143,112,196,040)",0.18%
57,苏丹,非洲,"1297.19亿 (129,718,581,297)",0.16%
58,安哥拉,非洲,"1221.24亿 (122,123,822,333)",0.15%
59,科威特,亚洲,"1206.88亿 (120,687,539,675)",0.15%
60,摩洛哥,非洲,"1185.41亿 (118,540,573,367)",0.15%
61,乌克兰,欧洲,"1120.91亿 (112,090,505,081)",0.14%
62,厄瓜多尔,美洲,"1044.67亿 (104,467,486,000)",0.13%
63,波多黎各,美洲,"1034.46亿 (103,445,500,000)",0.13%
64,古巴,美洲,"968.51亿 (96,850,649,691)",0.12%
65,斯洛伐克,欧洲,"956.50亿 (95,649,966,260)",0.12%
66,斯里兰卡,亚洲,"943.76亿 (94,376,237,797)",0.12%
67,肯尼亚,非洲,"820.37亿 (82,036,510,877)",0.10%
68,埃塞俄比亚,非洲,"817.71亿 (81,770,886,825)",0.10%
69,阿曼,亚洲,"808.57亿 (80,856,697,009)",0.10%
70,多米尼加,美洲,"799.98亿 (79,998,046,305)",0.10%
71,危地马拉,美洲,"716.54亿 (71,653,754,066)",0.09%
72,缅甸,亚洲,"660.53亿 (66,053,040,483)",0.08%
73,卢森堡,欧洲,"657.12亿 (65,712,180,342)",0.08%
74,乌拉圭,美洲,"650.06亿 (65,006,047,680)",0.08%
