历年GDP数据比较,,,,,,,,,,,,
,中国,,美国,,日本,,德国,,韩国,,英国,
年份,GDP(美元),占世界%,GDP(美元),占世界%,GDP(美元),,GDP(美元）,占世界%,GDP(美元),占世界%,GDP(美元),占世界%
2023,"17.79万亿 (17,794,781,986,104)",16.88%,"27.36万亿 (27,360,935,000,000)",25.95%,"4.21万亿 (4,212,945,159,781)",25.95%,"17.79万亿 (17,794,781,986,104)",16.88%,"4.46万亿 (4,456,081,016,705)",4.23%,"3.34万亿 (3,340,032,380,668)",3.17%
2022,"17.88万亿 (17,881,783,387,000)",17.67%,"25.74万亿 (25,744,108,000,000)",25.43%,"4.26万亿 (4,256,410,760,723)",25.43%,"17.88万亿 (17,881,783,387,000)",17.67%,"4.08万亿 (4,082,469,490,797)",4.03%,"3.09万亿 (3,088,839,763,445)",3.05%
2021,"17.82万亿 (17,820,459,508,852)",18.27%,"23.59万亿 (23,594,031,000,000)",24.19%,"5.03万亿 (5,034,620,784,584)",24.19%,"17.82万亿 (17,820,459,508,852)",18.27%,"4.28万亿 (4,278,503,934,689)",4.39%,"3.14万亿 (3,141,506,156,618)",3.22%
2020,"14.69万亿 (14,687,744,162,801)",17.16%,"21.32万亿 (21,322,950,000,000)",24.92%,"5.06万亿 (5,055,587,093,501)",24.92%,"14.69万亿 (14,687,744,162,801)",17.16%,"3.89万亿 (3,887,727,161,914)",4.54%,"2.70万亿 (2,697,806,592,293)",3.15%
2019,"14.28万亿 (14,279,968,506,271)",16.24%,"21.52万亿 (21,521,395,000,000)",24.47%,"5.12万亿 (5,117,993,853,016)",24.47%,"14.28万亿 (14,279,968,506,271)",16.24%,"3.89万亿 (3,889,177,589,254)",4.42%,"2.85万亿 (2,851,407,164,907)",3.24%
2018,"13.89万亿 (13,894,907,857,880)",16.03%,"20.66万亿 (20,656,516,000,000)",23.83%,"5.04万亿 (5,040,880,939,324)",23.83%,"13.89万亿 (13,894,907,857,880)",16.03%,"3.97万亿 (3,974,443,355,019)",4.58%,"2.87万亿 (2,871,340,347,581)",3.31%
2017,"12.31万亿 (12,310,491,333,980)",15.10%,"19.61万亿 (19,612,102,000,000)",24.05%,"4.93万亿 (4,930,837,369,151)",24.05%,"12.31万亿 (12,310,491,333,980)",15.10%,"3.69万亿 (3,690,849,152,517)",4.53%,"2.68万亿 (2,680,148,052,335)",3.29%
2016,"11.23万亿 (11,233,313,730,348)",14.67%,"18.80万亿 (18,804,913,000,000)",24.55%,"5.00万亿 (5,003,677,627,544)",24.55%,"11.23万亿 (11,233,313,730,348)",14.67%,"3.47万亿 (3,469,853,463,945)",4.53%,"2.69万亿 (2,689,106,566,899)",3.51%
2015,"11.06万亿 (11,061,572,618,578)",14.68%,"18.30万亿 (18,295,019,000,000)",24.28%,"4.44万亿 (4,444,930,651,964)",24.28%,"11.06万亿 (11,061,572,618,578)",14.68%,"3.36万亿 (3,357,585,719,351)",4.46%,"2.93万亿 (2,927,911,140,916)",3.89%
